Task,Model,MAE,RMSE,R2/MAPE,p_value_vs_baseline
Price Prediction,Baseline (Random Forest),18.39570421457406,25.783239287689817,-0.21847012988783066,N/A
Price Prediction,XGBoost,18.119777804730425,25.426648704715337,-0.0715391871643432,0.06349361279754008
Price Prediction,Prophet,18.998006036550443,26.543240611940966,-0.41263468471908216,0.6716925861293144
Demand Forecasting,Baseline (Random Forest),34.887934,44.29184234695278,44.316225247904995,N/A
Demand Forecasting,ARIMA,34.784488200000006,43.83716870685485,43.76665379309632,0.8892501935963756
Demand Forecasting,SMA (Moving Avg),45.818799999999996,58.26438541313331,53.32296226802445,2.9910410288858277e-05
Ablation (Pricing),With Demand (Current),4.615575071292293,6.1826701548031275,N/A,7.848756986285103e-06
Ablation (Pricing),Without Demand (Baseline),25.62518685581501,47.467999936159934,N/A,N/A
Ablation (Crop Rec),Weighted (Current),N/A,N/A,Profit: 19518.81,2.069072278784768e-05
Ablation (Crop Rec),Naive Suitability,N/A,N/A,Profit: 15808.00,N/A
