Construct,Question,Mean_Score,Std_Dev
Perceived Usefulness (PU),Q1,76.66666666666667,17.59328876372492
Perceived Usefulness (PU),Q5,78.33333333333333,15.99851183555461
Perceived Usefulness (PU),Q6,83.33333333333333,15.43033499620919
Perceived Usefulness (PU),Q9,78.33333333333333,15.99851183555461
Perceived Usefulness (PU),Q10,85.0,12.677313820927749
Perceived Ease of Use (PEOU),Q2,83.33333333333333,15.43033499620919
Perceived Ease of Use (PEOU),Q3,85.0,12.677313820927749
Perceived Ease of Use (PEOU),Q4,86.66666666666667,12.909944487358057
Perceived Ease of Use (PEOU),Q7,81.66666666666667,14.840420992616592
Perceived Ease of Use (PEOU),Q8,88.33333333333333,12.909944487358057
