Participant_ID,Role,Digital_Literacy,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Intention_to_Use
1,Farmer,Medium,5,2,4,1,3,1,3,3,5,1,5
2,Consumer,Low,3,2,3,2,3,2,4,3,3,3,3
3,Consumer,Low,4,3,3,3,3,3,3,2,4,3,4
4,Consumer,High,3,3,5,1,5,2,4,2,4,1,3
5,Farmer,Low,2,2,5,3,4,3,4,3,3,2,3
6,Consumer,Medium,4,3,4,3,5,5,5,2,5,2,4
7,Consumer,Medium,5,1,4,1,4,2,3,2,5,1,5
8,Farmer,Medium,4,3,4,2,5,3,4,2,5,1,4
9,Consumer,High,4,2,3,2,4,2,4,2,5,1,3
10,Farmer,High,4,1,4,2,5,2,4,2,5,1,4
11,Farmer,High,3,2,5,1,5,1,5,3,5,2,3
12,Farmer,Medium,3,1,5,1,3,3,4,1,4,3,3
13,Farmer,Low,3,2,3,3,3,2,2,4,4,3,3
14,Farmer,Medium,5,2,4,2,4,2,5,1,4,2,5
15,Farmer,High,5,3,4,2,4,1,5,1,5,1,5
16,Farmer,High,3,1,4,2,5,2,5,2,5,1,3
17,Farmer,Low,4,2,4,2,4,4,2,3,3,2,4
18,Farmer,Medium,4,2,5,2,4,1,4,2,5,2,4
19,Farmer,Medium,3,3,5,2,3,3,5,2,3,2,2
20,Consumer,Medium,4,2,3,1,3,1,3,2,3,1,5
21,Farmer,Low,4,2,5,4,3,2,4,2,4,3,5
22,Consumer,High,5,2,3,2,5,2,5,2,5,3,5
23,Consumer,Low,3,3,4,2,4,3,3,3,4,2,2
24,Consumer,Low,3,3,5,3,3,2,3,2,4,3,4
25,Consumer,Medium,4,1,3,1,4,1,1,3,4,3,4
26,Consumer,High,5,1,4,2,5,2,4,2,4,1,5
27,Consumer,Medium,4,2,4,3,3,1,4,3,4,2,3
28,Farmer,Medium,4,1,4,1,4,2,3,3,3,2,4
29,Consumer,High,4,2,3,2,5,2,5,1,5,2,4
30,Consumer,High,4,2,5,2,4,1,3,1,4,1,4
31,Farmer,High,5,2,4,2,5,3,4,2,4,2,5
32,Farmer,Medium,5,2,4,4,4,3,4,2,4,2,5
33,Farmer,Medium,4,1,3,2,5,1,5,2,4,3,3
34,Consumer,High,5,1,5,1,5,2,3,2,4,2,5
