Participant_ID,Role,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10
P01,Farmer,4,2,4,1,4,2,4,2,3,2
P02,Farmer,5,1,4,2,5,1,4,1,4,2
P03,Consumer,4,2,4,2,4,2,4,2,4,2
P04,Consumer,3,2,5,1,3,2,5,2,4,1
P05,Farmer,4,1,5,1,4,1,5,1,4,2
P06,Farmer,3,3,4,2,4,3,4,2,3,2
P07,Consumer,5,2,5,1,4,1,4,1,5,2
P08,Consumer,4,2,4,2,4,1,3,2,4,1
P09,Farmer,4,1,4,1,5,2,4,1,5,1
P10,Farmer,5,1,5,2,5,1,5,1,4,2
P11,Consumer,3,2,4,2,3,2,4,2,4,2
P12,Consumer,4,2,5,1,4,2,4,1,5,1
P13,Farmer,4,1,4,1,4,2,5,2,4,1
P14,Farmer,5,2,4,2,4,2,4,1,4,2
P15,Consumer,4,1,5,2,5,1,5,1,5,1
